brand,name,pack_qty,sale_price,regular_price,discount_pct,stock_qty,last_modified,url,change
A.J. Fernandez,AJ Fernandez San Lotano Bull Robusto (5×54 / Box of 20),20,79.98,190.0,57.9,In stock,2026-08-03,https://www.hilandscigars.com/shop/cigars/aj-fernandez-san-lotano-bull-robusto-5x54-box-of-20/,52.6% -> 57.9%
A.J. Fernandez,AJ Fernandez Summer Camp Sampler (Mixed Sizes / Pack of 20),20,79.98,200.0,60.0,In stock,2026-08-03,https://www.hilandscigars.com/shop/cigars/aj-fernandez-summer-camp-sampler-mixed-sizes-pack-of-20/,new
Aging Room,Aging Room Quattro Nicaragua Concerto Cigar (6.5 x 52/Box of 10),10,69.98,143.0,51.1,In stock,2026-08-03,https://www.hilandscigars.com/shop/cigars/aging-room/aging-room-quattro-nicaragua/aging-room-quattro-nicaragua-concerto-cigar-6-5-x-52-box-of-10/,new
Asylum Signature Series,Asylum Signature Series Belicoso (6×54 / Box of 10),10,90.0,180.0,50.0,In stock,2026-08-03,https://www.hilandscigars.com/shop/cigars/asylum/asylum-signature-series/asylum-signature-series-belicoso-6x54-box-of-10/,new
Asylum Signature Series,Asylum Signature Series Corona (6×46 / Box of 10),10,85.0,170.0,50.0,In stock,2026-08-03,https://www.hilandscigars.com/shop/cigars/asylum/asylum-signature-series/asylum-signature-series-corona-6x46-box-of-10/,new
Asylum Signature Series,Asylum Signature Series Robusto (5×50 / Box of 10),10,80.0,160.0,50.0,In stock,2026-08-03,https://www.hilandscigars.com/shop/cigars/asylum/asylum-signature-series/asylum-signature-series-robusto-5x50-box-of-10/,new
Asylum,Asylum 13 Arabian Nights 550 Cigar (5×50 / Box of 10),10,75.0,150.0,50.0,In stock,2026-08-03,https://www.hilandscigars.com/shop/cigars/asylum/arabian-nights-550-cigar-5x50-box-of-10/,new
Asylum,Asylum 13 Arabian Nights 770 Cigar (7×70 / Box of 10),10,90.0,180.0,50.0,In stock,2026-08-03,https://www.hilandscigars.com/shop/cigars/asylum/13-arabian-nights-770-cigar-7x70-box-of-10/,new
Asylum,Asylum 13 Arabian Nights 660 Cigar (6×60 / Box of 10),10,85.0,170.0,50.0,In stock,2026-08-03,https://www.hilandscigars.com/shop/cigars/asylum/13-arabian-nights-660-cigar-6x60-box-of-10/,new
Asylum,Asylum 13 Arabian Nights 654 Cigar (6×54 / Box of 10),10,80.0,160.0,50.0,In stock,2026-08-03,https://www.hilandscigars.com/shop/cigars/asylum/arabian-nights-654-cigar-6x54-box-of-10/,new
Tatuaje,Tatuaje Sextooth William Blake Cigar (4.5×60 / Box of 24),24,80.0,200.0,60.0,In stock,2026-08-03,https://www.hilandscigars.com/shop/cigars/tatuaje/tatuaje-tatuaje/tatuaje-sextooth/william-blake-cigar-5x58-box-of-24/,new
La Gloria Cubana,La Gloria Cubana Wavell Maduro (5 x 50/Box of 25),25,99.0,238.0,58.4,In stock,2026-08-03,https://www.hilandscigars.com/shop/cigars/la-gloria-cubana/la-gloria-cubana-la-gloria-cubana/la-gloria-cubana-wavell-maduro-5-x-50-box-of-25/,new
Oliva,Oliva Serie O Maduro Churchill (7×50 / Box of 20),20,87.93,218.0,59.7,In stock,2026-08-03,https://www.hilandscigars.com/shop/cigars/oliva/oliva-serie-o-maduro-churchill/,new
Oliva,Oliva Serie O Maduro Double Toro (6×60 / Box of 10),10,51.25,128.0,60.0,In stock,2026-08-03,https://www.hilandscigars.com/shop/cigars/oliva/oliva-serie-o-double-toro-2/,new
Oliva Serie O,Oliva Serie O Churchill (7×50 / Box of 20),20,87.93,218.0,59.7,In stock,2026-08-03,https://www.hilandscigars.com/shop/cigars/oliva/oliva-serie-o/oliva-serie-o-churchill/,new
Oliva,Oliva Serie G Maduro Robusto (4.5×50 / Box of 24),24,94.98,172.0,44.8,In stock,2026-08-03,https://www.hilandscigars.com/shop/cigars/oliva/oliva-serie-g-maduro-robusto/,new
Oliva,Oliva Serie G Torpedo (6.5×52 / Box of 25),25,94.98,173.0,45.1,In stock,2026-08-03,https://www.hilandscigars.com/shop/cigars/oliva/oliva-serie-g-torpedo/,new
