brand,name,pack_qty,sale_price,regular_price,discount_pct,stock_qty,last_modified,url
A.J. Fernandez,AJ New World Cameroon Short Robusto (4×48 / Box of 20),20,74.98,136.0,44.9,In stock,2026-09-03,https://www.hilandscigars.com/shop/cigars/a-j-new-world-cameroon-short-robusto-4x48-box-of-20/
A.J. Fernandez,AJ Fernandez San Lotano Bull Robusto (5×54 / Box of 20),20,79.98,190.0,57.9,In stock,2026-08-27,https://www.hilandscigars.com/shop/cigars/aj-fernandez-san-lotano-bull-robusto-5x54-box-of-20/
A.J. Fernandez,AJ Fernandez San Lotano Requiem Maduro Gran Toro (6×60 / Box of 20),20,98.98,210.0,52.9,In stock,2026-08-27,https://www.hilandscigars.com/shop/cigars/aj-fernandez-san-lotano-requiem-maduro-gran-toro-6x60-box-of-20/
A.J. Fernandez,AJ Fernandez San Lotano Requiem Maduro Toro (6×52 / Box of 20),20,89.98,190.0,52.6,In stock,2026-08-27,https://www.hilandscigars.com/shop/cigars/aj-fernandez-san-lotano-requiem-maduro-toro-6x52-box-of-20/
A.J. Fernandez,AJ Fernandez San Lotano Requiem Connecticut Robusto (5×52 / Box of 20),20,84.98,180.0,52.8,In stock,2026-08-17,https://www.hilandscigars.com/shop/cigars/aj-fernandez-san-lotano-requiem-connecticut-robusto-5x52-box-of-20/
A.J. Fernandez,AJ Fernandez San Lotano Requiem Maduro Robusto (5×52 / Box of 20),20,84.98,180.0,52.8,In stock,2026-08-15,https://www.hilandscigars.com/shop/cigars/aj-fernandez-san-lotano-maduro-robusto-5x52-box-of-20/
A.J. Fernandez,AJ Fernandez Summer Camp Sampler (Mixed Sizes / Pack of 20),20,79.98,200.0,60.0,In stock,2026-09-01,https://www.hilandscigars.com/shop/cigars/aj-fernandez-summer-camp-sampler-mixed-sizes-pack-of-20/
A.J. Fernandez,AJ Fernandez New World Dorado Gordito (5.5 x 60 / Box of 10) + Free Shipping!,10,59.98,140.0,57.2,In stock,2026-08-27,https://www.hilandscigars.com/shop/cigars/aj-fernandez-new-world-dorado-gordito-5-5-x-60-box-of-10-free-shipping/
A.J. Fernandez,AJ Fernandez New World Cameroon Torpedo (6.5 x 52 / Box of 20) + Free Shipping!,20,79.98,156.0,48.7,In stock,2026-08-28,https://www.hilandscigars.com/shop/cigars/aj-fernandez-new-world-cameroon-torpedo-6-5-x-52-box-of-20-free-shipping/
A.J. Fernandez,AJ Fernandez New World Dorado Toro (6×54 / Box of 10) + Free Shipping!,10,69.98,132.0,47.0,In stock,2026-08-28,https://www.hilandscigars.com/shop/cigars/aj-fernandez-new-world-dorado-gordito-6x54-box-of-10/
