brand,name,pack_qty,sale_price,regular_price,discount_pct,stock_qty,last_modified,url
A.J. Fernandez,91+ Rated Charcuterie Board Sampler (Size Varies / Pack of 20),20,89.98,252.0,64.3,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/91-rated-charcuterie-board-sampler-size-varies-pack-of-20/
A.J. Fernandez,AJ Fernandez San Lotano Bull Robusto (5×54 / Box of 20),20,79.98,190.0,57.9,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/aj-fernandez-san-lotano-bull-robusto-5x54-box-of-20/
A.J. Fernandez,AJ Fernandez San Lotano Requiem Maduro Gran Toro (6×60 / Box of 20),20,98.98,210.0,52.9,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/a-j-fernandez/aj-fernandez-san-lotano-requiem-maduro-gran-toro-6x60-box-of-20/
A.J. Fernandez,AJ Fernandez San Lotano Requiem Maduro Toro (6×52 / Box of 20),20,89.98,190.0,52.6,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/a-j-fernandez/aj-fernandez-san-lotano-requiem-maduro-toro-6x52-box-of-20/
A.J. Fernandez,AJ Fernandez San Lotano Requiem Connecticut Robusto (5×52 / Box of 20),20,79.98,180.0,55.6,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/aj-fernandez-san-lotano-requiem-connecticut-robusto-5x52-box-of-20/
A.J. Fernandez,AJ Fernandez San Lotano Requiem Maduro Robusto (5×52 / Box of 20),20,79.98,180.0,55.6,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/aj-fernandez-san-lotano-maduro-robusto-5x52-box-of-20/
A.J. Fernandez,AJ Fernandez Summer Camp Sampler (Mixed Sizes / Pack of 20),20,79.98,200.0,60.0,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/aj-fernandez-summer-camp-sampler-mixed-sizes-pack-of-20/
AJ Fernandez New World Dorado,AJ Fernandez New World Dorado Gordito (5.5 x 60 / Box of 10) + Free Shipping!,10,49.98,140.0,64.3,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/a-j-fernandez/aj-fernandez-new-world-dorado/aj-fernandez-new-world-dorado-gordito-5-5-x-60-box-of-10-free-shipping/
AJ Fernandez New World Dorado,AJ Fernandez New World Dorado Toro (6×54 / Box of 10) + Free Shipping!,10,69.98,132.0,47.0,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/a-j-fernandez/aj-fernandez-new-world-dorado/aj-fernandez-new-world-dorado-gordito-6x54-box-of-10/
A.J. Fernandez New World Connecticut,AJ Fernandez New World Connecticut Belicoso (6×54 / Box of 20),20,89.98,200.0,55.0,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/a-j-fernandez/a-j-fernandez-new-world-connecticut/a-j-fernandez-new-world-connecticut-belicoso-6x54-box-of-20-free-lighter-and-shipping/
A.J. Fernandez New World Cameroon,AJ Fernandez New World Cameroon Churchill (7×48 / Box of 20) + Free Shipping!,20,79.98,156.0,48.7,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/a-j-fernandez/a-j-fernandez-new-world-cameroon/aj-fernandez-new-world-cameroon-churchill-7x48-box-of-20/
A.J. Fernandez New World Puro Especial,AJ Fernandez New World Puro Especial Robusto (5.5×52 / Box of 20) + Free Shipping!,20,79.98,182.0,56.1,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/a-j-fernandez/a-j-fernandez-new-world-puro-especial/new-a-j-fernandez-new-world-puro-especial-robusto-20/
A.J. Fernandez New World,New World By AJ Fernandez Maduro Robusto (5.5×55 / Box of 21),21,94.5,189.0,50.0,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/a-j-fernandez/a-j-fernandez-new-world/new-world-by-aj-fernandez-maduro-robusto-21/
A.J. Fernandez New World Cameroon,AJ Fernandez New World Cameroon Double Robusto (5.5×54 / Box of 20) + Free Shipping!,20,79.98,150.0,46.7,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/a-j-fernandez/a-j-fernandez-new-world-cameroon/aj-fernandez-new-world-cameroon-double-robusto-deal-20-best-price/
A.J. Fernandez,A.J. Fernandez Enclave Habano Robusto (5×52 / Box of 20),20,79.98,170.0,53.0,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/a-j-fernandez/aj-fernandez-enclave-toro/
A.J. Fernandez New World,AJ Fernandez New World Oscuro Toro (6.5×55 / Box of 21),21,99.98,206.0,51.5,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/a-j-fernandez/a-j-fernandez-new-world/new-world-gobernador-toro/
Aganorsa Leaf,Aganorsa Leaf Connecticut Lovers Summertime Sampler (Size Varies / Pack of 20),20,79.98,176.0,54.6,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/agranorsa-leaf-connecticut-lovers-summertime-sampler-size-varies-pack-of-20/
Aging Room,Aging Room Quattro Nicaragua Concerto Cigar (6.5 x 52/Box of 10),10,69.98,143.0,51.1,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/aging-room/aging-room-quattro-nicaragua/aging-room-quattro-nicaragua-concerto-cigar-6-5-x-52-box-of-10/
Alec Bradley,Alec Bradley Black Market Gran Tubo (6.5×52/Box of 10),10,69.98,124.9,44.0,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/alec-bradley/alec-bradley-black-market-toro-tubo-6-5x52-box-of-10/
Alec Bradley 30 Years,Alec Bradley 30 Years Toro Cigars (6×54 / Box of 16),16,97.98,175.84,44.3,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/alec-bradley/alec-bradley-30-years/alec-bradley-30-years-toro-cigars-6x54-box-of-16/
Asylum Signature Series,Asylum Signature Series Belicoso (6×54 / Box of 10),10,90.0,180.0,50.0,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/asylum/asylum-signature-series/asylum-signature-series-belicoso-6x54-box-of-10/
Asylum Signature Series,Asylum Signature Series Corona (6×46 / Box of 10),10,85.0,170.0,50.0,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/asylum/asylum-signature-series/asylum-signature-series-corona-6x46-box-of-10/
Asylum Signature Series,Asylum Signature Series Robusto (5×50 / Box of 10),10,80.0,160.0,50.0,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/asylum/asylum-signature-series/asylum-signature-series-robusto-5x50-box-of-10/
Asylum,Asylum 13 Arabian Nights 550 Cigar (5×50 / Box of 10),10,75.0,150.0,50.0,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/asylum/arabian-nights-550-cigar-5x50-box-of-10/
Asylum,Asylum 13 Arabian Nights 660 Cigar (6×60 / Box of 10),10,85.0,170.0,50.0,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/asylum/13-arabian-nights-660-cigar-6x60-box-of-10/
Asylum,Asylum 13 Arabian Nights 654 Cigar (6×54 / Box of 10),10,80.0,160.0,50.0,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/asylum/arabian-nights-654-cigar-6x54-box-of-10/
Cain by Oliva,Cain Daytona 550 Robusto (5×50 / Box of 24),24,86.98,200.0,56.5,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/oliva/cain-daytona-550-robusto/
Cain by Oliva,Cain Daytona 646 Corona (6×46 / Box of 24),24,82.98,191.22,56.6,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/oliva/cain-daytona-646-corona/
Cain by Oliva,Cain 550 Habano (5.75×50 / Box of 24),24,86.98,200.0,56.5,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/oliva/cain-550-robusto-habano/
La Gloria Cubana,La Gloria Cubana Wavell Maduro (5 x 50/Box of 25),25,99.0,238.0,58.4,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/la-gloria-cubana/la-gloria-cubana-la-gloria-cubana/la-gloria-cubana-wavell-maduro-5-x-50-box-of-25/
Gran Habano,Gran Habano Corojo Maduro No.5 Gran Robusto (6×54 / Pack of 20),20,87.98,176.0,50.0,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/gran-habano-corojo-maduro-no-5-gran-robusto-6x54-pack-of-20/
Montecristo,Montecristo Espada Oscuro Guard (6×50 / Box of 10),10,99.98,188.2,46.9,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/montecristo-espada-oscuro-guard-6x50-box-of-10/
Gran Habano,Gran Habano Connecticut #1 (6×54 / Pack of 20) + Free Shipping!,20,87.98,176.0,50.0,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/gran-habano/gran-habano-connecticut-1-gran-robusto-6x54-pack-of-20-free-shipping/
Gran Habano,Gran Habano #5 Corojo Cigar (6×54 / Pack of 20) + Free Shipping!,20,87.98,176.0,50.0,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/gran-habano-5-corojo-cigar-6x54-pack-of-20-free-shipping/
La Gloria Cubana Intencion,La Gloria Cubana Intencion Gigante Cigar (6×60 / Box of 20),20,88.98,159.98,44.4,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/la-gloria-cubana/la-gloria-cubana-intencion/la-gloria-cubana-intencion-gignate-cigar-6x60-box-of-20/
Deadwood Tobacco by Drew Estate,Deadwood Dominicana Buenas Noches Gordo Cigar (6×60 / Box of 10),10,84.98,143.0,40.6,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/drew-estate/deadwood-dominicana-buenas-noches-6x60/
Deadwood Tobacco by Drew Estate,Deadwood Dominicana Buenas Noches Robusto Cigar (5×54 / Box of 10),10,79.98,136.0,41.2,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/drew-estate/deadwood-dominicana-buenas-noches-robusto/
Cigars,Clash Packs: Nub Habano 460 vs. Tatuaje Sex Tooth William Blake (Pack of 10),10,59.98,110.0,45.5,,2026-08-10,https://www.hilandscigars.com/shop/cigars/clash-packs/clash-pack-nub-habanno-460-vs-tatuaje-sex-tooth-william-blake/
Cigars,Clash Packs: AJ Fernandez New World Robusto vs. Undercrown Maduro Toro (Pack of 10),10,59.98,110.0,45.5,,2026-08-10,https://www.hilandscigars.com/shop/cigars/clash-packs/clash-packs-aj-fernandez-new-world-robusto-vs-undercrown-maduro-toro/
Cigars,Clash Packs: Romeo Y Julieta Reserve Real Toro vs. Oliva Connecticut Reserve Churchill (Pack of 10),10,69.98,140.0,50.0,,2026-08-10,https://www.hilandscigars.com/shop/cigars/clash-packs/clash-packs-romeo-y-julieta-reserve-real-toro-vs-oliva-connecticut-reserve-churchill/
Oliva,Oliva Master Blends III Robusto Cigar (5×50 / Pack of 20),20,98.98,292.0,66.1,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/oliva/oliva-master-blends-iii-robusto-5x50-pack-of-20-free-shipping/
Plasencia Reserva Original,Plasencia Reserva Original Corona Corta (3.87×48 / Box of 20),20,95.88,159.8,40.0,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/plasencia/plasencia-reserva-original/plasencia-reserva-original-corona-corta-3-87x48-box-of-20/
Oliva,Taste of Oliva Sampler (Assorted Sizes / Pack of 8),8,54.98,128.4,57.2,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/samplers/oliva-serie-v-melanio-series-sampler-natural-assorted-sizes-pack-of-8-free-shipping-and-lighter-copy/
Oliva,Oliva Serie V Maduro Especial Torpedo (6 x 54 / Box of 10),10,75.98,151.96,50.0,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/oliva/oliva-serie-v-maduro-especial-torpedo-6-x-54-box-of-10/
Perdomo,Perdomo Reserve 10th Anniversary Sun Grown Churchill (7×54 / Pack of 10) + Free Shipping!,10,67.98,133.0,48.9,,2026-08-10,https://www.hilandscigars.com/shop/cigars/perdomo/perdomo-reserve-10th-anniversary-sun-grown-churchill-7x54-pack-of-10-free-shipping/
Cosecha 149,Plasencia Cosecha 151 La Musica (5 x 50/ Box of 10) + Free Shipping!,10,87.0,145.2,40.1,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/plasencia/plasencia-cosecha-151-la-musica-5-x-50-box-of-10/
Cosecha 149,Plasencia Cosecha 151 San Diego (5.75 x 46/ Box of 10) + Free Shipping!,10,85.8,143.0,40.0,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/plasencia/plasencia-cosecha-151-san-diego-5-75-x-46-box-of-10/
Cigars,Football Kickoff Sampler (Assorted / Pack of 10) + Free Shipping!,10,99.98,181.5,44.9,,2026-08-10,https://www.hilandscigars.com/shop/cigars/full-body-big-daddy-sampler-pack-pack-of-10-size-varies-free-shipping/
Perdomo,Perdomo Reserve 10th Anniversary Champagne Churchill (7×54 / Pack of 10) + Free Shipping!,10,74.98,132.0,43.2,,2026-08-10,https://www.hilandscigars.com/shop/cigars/perdomo/perdomo-champagne-churchill-7x54-box-of-25-free-shipping/
E.P. Carrillo Core Line,E.P. Carrillo Encore Majestic (5.37×52 / Pack of 10) + Free Shipping!,10,74.98,131.0,42.8,,2026-08-10,https://www.hilandscigars.com/shop/cigars/e-p-carrillo/e-p-carrillo-core-line/e-p-carrillo-encore-majestic-5-37x52-pack-of-10-free-shipping/
Cosecha 149,Plasencia Cosecha 149 La Vega Robusto (5×52 / Box of 10) + Free Shipping,10,97.02,161.7,40.0,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/plasencia/cosecha-149/plasencia-cosecha-149-la-vega-robusto-5x52-box-of-10-free-shipping/
E.P. Carrillo The Pledge,E.P. Carrillo Pledge Prequel (5×50 / Bundle of 10) + Free Shipping!,10,79.98,134.0,40.3,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/e-p-carrillo/e-p-carrillo-the-pledge/e-p-carrillo-pledge-prequel-5x50-bundle-of-10/
Plasencia,Plasencia Reserva Original Robusto (4.75 x 52/Box of 10) + Free Shipping,10,65.4,109.0,40.0,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/plasencia/plasencia-reserva-original/plasencia-reserva-original-robusto-4-75-x-52-10/
Gilberto by Oliva,Gilberto by Oliva Reserva Toro (6×50 / Box of 20),20,74.98,145.98,48.6,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/oliva/gilberto-by-oliva-reserva-toro/
Oliva Serie V Melanio,Oliva Serie V Melanio Toro (6.5×52 / Box of 10) + Free Shipping,10,96.98,193.96,50.0,,2026-08-10,https://www.hilandscigars.com/shop/cigars/oliva/oliva-serie-v-melanio/oliva-serie-v-melanio-gran-reserva-limitada-toro-10/
Oliva,Oliva Serie V Maduro Especial Double Toro (6×60 / Box of 10),10,77.98,155.0,49.7,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/oliva/oliva-serie-v-maduro-especial-double-toro/
Oliva Serie V Melanio and Melanio Maduro,Oliva Serie V Melanio Maduro Toro (6×52 / Box of 10) + Free Shipping,10,96.98,193.96,50.0,,2026-08-10,https://www.hilandscigars.com/shop/cigars/oliva/oliva-serie-v-melanio/oliva-serie-v-melanio-maduro-toro-10/
Nub by Oliva,Nub Habano 460 (4×60 / 5 Pack),5,51.98,89.98,42.2,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/oliva/nub-habano-466-5pack/
Oliva Serie V,Oliva Serie V Melanio Robusto (5×52 / Box of 10) + Free Shipping!,10,75.98,151.96,50.0,,2026-08-10,https://www.hilandscigars.com/shop/cigars/oliva/oliva-serie-v/oliva-serie-v-melanio-maduro-robusto/
Tampa Trolley's,Tampa Trolley’s (7.25×52 / Bundle of 20),20,36.98,62.98,41.3,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/j-c-newman/tampa-trolleys/tampa-trolley-s/
Oliva Serie V,Oliva Serie V Melanio No. 4 (4.5×46 / Box of 10) + Free Shipping!,10,64.98,129.96,50.0,,2026-08-10,https://www.hilandscigars.com/shop/cigars/oliva/oliva-serie-v/oliva-serie-v-melanio-gran-reserva-4/
Nub by Oliva,Nub Maduro 460 Tubo (4×60 / Box of 12),12,75.98,151.96,50.0,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/oliva/nub-by-oliva/nub-maduro-460-tubo-12/
Nub by Oliva,Nub Habano 460 Tubo (4×60 / Box of 12),12,69.98,139.96,50.0,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/oliva/nub-by-oliva/nub-cameroon-460-tubo-box-of-12-3/
Nub by Oliva,Nub Cameroon 460 Tubo (4×60 / Box of 12) + Free Shipping!,12,69.98,141.0,50.4,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/oliva/nub-cameroon-460-tubo-12/
Oliva,Oliva Serie O Maduro Churchill (7×50 / Box of 20),20,87.93,218.0,59.7,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/oliva/oliva-serie-o-maduro-churchill/
Oliva Serie O,Oliva Serie O Churchill (7×50 / Box of 20),20,87.93,218.0,59.7,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/oliva/oliva-serie-o/oliva-serie-o-churchill/
Nub by Oliva,Nub Cameroon 460 (4×60 / Box of 24) + Free Shipping!,24,99.98,218.0,54.1,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/oliva/nub-cameroon-460/
Punch Clasico,Punch Elites EMS (5.25×45 / Box of 25),25,99.98,173.5,42.4,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/punch/punch-clasico/punch-elites-ems/
Oliva,Oliva Serie G Maduro Robusto (4.5×50 / Box of 24),24,94.98,172.0,44.8,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/oliva/oliva-serie-g-maduro-robusto/
Oliva,Oliva Serie G Torpedo (6.5×52 / Box of 25),25,94.98,173.0,45.1,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/oliva/oliva-serie-g-torpedo/
Oliva,Oliva Serie G Belicoso (5×52 / Box of 25),25,90.98,172.0,47.1,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/oliva/oliva-serie-g-belicoso/
Oliva,Oliva Serie G Robusto (4.5×50 / Box of 25),25,92.98,165.0,43.6,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/oliva/oliva-serie-g-robusto/
Nub by Oliva,Nub Cameroon 358 (3.75×58 / Box of 24),24,98.98,198.0,50.0,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/oliva/nub-by-oliva/nub-cameroon-358/
Punch Clasico,Punch Elites Maduro (5.25×45 / Box of 25),25,99.98,173.0,42.2,In stock,2026-08-10,https://www.hilandscigars.com/shop/cigars/punch/punch-clasico/punch-elites-maduro/
